provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pengeluaran_per_kapita,satuan
JAWA BARAT,3204,KABUPATEN BANDUNG,9854,RIBU RUPIAH
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8002,RIBU RUPIAH
JAWA BARAT,3216,KABUPATEN BEKASI,10790,RIBU RUPIAH
JAWA BARAT,3201,KABUPATEN BOGOR,9901,RIBU RUPIAH
JAWA BARAT,3207,KABUPATEN CIAMIS,8658,RIBU RUPIAH
JAWA BARAT,3203,KABUPATEN CIANJUR,7300,RIBU RUPIAH
JAWA BARAT,3209,KABUPATEN CIREBON,9650,RIBU RUPIAH
JAWA BARAT,3205,KABUPATEN GARUT,7270,RIBU RUPIAH
JAWA BARAT,3212,KABUPATEN INDRAMAYU,9014,RIBU RUPIAH
JAWA BARAT,3215,KABUPATEN KARAWANG,10703,RIBU RUPIAH
JAWA BARAT,3208,KABUPATEN KUNINGAN,8736,RIBU RUPIAH
JAWA BARAT,3210,KABUPATEN MAJALENGKA,8833,RIBU RUPIAH
JAWA BARAT,3218,KABUPATEN PANGANDARAN,8588,RIBU RUPIAH
JAWA BARAT,3214,KABUPATEN PURWAKARTA,10941,RIBU RUPIAH
JAWA BARAT,3213,KABUPATEN SUBANG,10206,RIBU RUPIAH
JAWA BARAT,3202,KABUPATEN SUKABUMI,8263,RIBU RUPIAH
JAWA BARAT,3211,KABUPATEN SUMEDANG,9569,RIBU RUPIAH
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7250,RIBU RUPIAH
JAWA BARAT,3273,KOTA BANDUNG,16033,RIBU RUPIAH
JAWA BARAT,3279,KOTA BANJAR,9987,RIBU RUPIAH
JAWA BARAT,3275,KOTA BEKASI,15378,RIBU RUPIAH
JAWA BARAT,3271,KOTA BOGOR,10940,RIBU RUPIAH
JAWA BARAT,3277,KOTA CIMAHI,11353,RIBU RUPIAH
JAWA BARAT,3274,KOTA CIREBON,11100,RIBU RUPIAH
JAWA BARAT,3276,KOTA DEPOK,14727,RIBU RUPIAH
JAWA BARAT,3272,KOTA SUKABUMI,10188,RIBU RUPIAH
JAWA BARAT,3278,KOTA TASIKMALAYA,9497,RIBU RUPIAH
