provinsi,kode_kabupaten_kota,nama_kabupaten_kota,penduduk_miskin,satuan
JAWA BARAT,3204,KABUPATEN BANDUNG,7.36,%
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11.49,%
JAWA BARAT,3216,KABUPATEN BEKASI,4.73,%
JAWA BARAT,3201,KABUPATEN BOGOR,8.57,%
JAWA BARAT,3207,KABUPATEN CIAMIS,8.2,%
JAWA BARAT,3203,KABUPATEN CIANJUR,11.41,%
JAWA BARAT,3209,KABUPATEN CIREBON,12.97,%
JAWA BARAT,3205,KABUPATEN GARUT,11.27,%
JAWA BARAT,3212,KABUPATEN INDRAMAYU,13.67,%
JAWA BARAT,3215,KABUPATEN KARAWANG,10.25,%
JAWA BARAT,3208,KABUPATEN KUNINGAN,13.27,%
JAWA BARAT,3210,KABUPATEN MAJALENGKA,12.6,%
JAWA BARAT,3218,KABUPATEN PANGANDARAN,10,%
JAWA BARAT,3214,KABUPATEN PURWAKARTA,9.06,%
JAWA BARAT,3213,KABUPATEN SUBANG,10.77,%
JAWA BARAT,3202,KABUPATEN SUKABUMI,8.04,%
JAWA BARAT,3211,KABUPATEN SUMEDANG,10.53,%
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,10.84,%
JAWA BARAT,3273,KOTA BANDUNG,4.17,%
JAWA BARAT,3279,KOTA BANJAR,7.06,%
JAWA BARAT,3275,KOTA BEKASI,4.79,%
JAWA BARAT,3271,KOTA BOGOR,7.11,%
JAWA BARAT,3277,KOTA CIMAHI,5.76,%
JAWA BARAT,3274,KOTA CIREBON,9.66,%
JAWA BARAT,3276,KOTA DEPOK,2.34,%
JAWA BARAT,3272,KOTA SUKABUMI,8.48,%
JAWA BARAT,3278,KOTA TASIKMALAYA,14.8,%
